T,v(t),a(t)
 59.80,97.75954, 0.02429
 59.90,97.76194, 0.02405
 60.00,97.76432, 0.02381
 60.10,97.76668, 0.02357
 60.20,97.76901, 0.02333
 60.30,97.77132, 0.02310
 60.40,97.77361, 0.02287
 60.50,97.77588, 0.02264
 60.60,97.77812, 0.02241
 60.70,97.78034, 0.02219
 60.80,97.78254, 0.02197
 60.90,97.78471, 0.02175
 61.00,97.78687, 0.02153
 61.10,97.78899, 0.02131
 61.20,97.79111, 0.02110
 61.30,97.79320, 0.02089
 61.40,97.79527, 0.02068
 61.50,97.79731, 0.02047
 61.60,97.79934, 0.02027
 61.70,97.80135, 0.02007
 61.80,97.80333, 0.01987
 61.90,97.80530, 0.01967
 62.00,97.80724, 0.01947
 62.10,97.80917, 0.01928
 62.20,97.81108, 0.01908
 62.30,97.81297, 0.01889
 62.40,97.81484, 0.01870
 62.50,97.81670, 0.01852
 62.60,97.81853, 0.01833
 62.70,97.82034, 0.01815
 62.80,97.82214, 0.01797
 62.90,97.82391, 0.01779
 63.00,97.82568, 0.01761
 63.10,97.82742, 0.01743
 63.20,97.82914, 0.01726
 63.30,97.83085, 0.01709
 63.40,97.83254, 0.01692
 63.50,97.83421, 0.01675
 63.60,97.83587, 0.01658
 63.70,97.83751, 0.01641
 63.80,97.83913, 0.01625
 63.90,97.84074, 0.01609
 64.00,97.84234, 0.01593
 64.10,97.84392, 0.01577
 64.20,97.84548, 0.01561
 64.30,97.84703, 0.01545
 64.40,97.84856, 0.01530
 64.50,97.85007, 0.01514
 64.60,97.85158, 0.01499
 64.70,97.85307, 0.01484
 64.80,97.85454, 0.01469
 64.90,97.85600, 0.01455
 65.00,97.85744, 0.01440
 65.10,97.85886, 0.01426
 65.20,97.86028, 0.01411
 65.30,97.86167, 0.01397
 65.40,97.86305, 0.01383
 65.50,97.86443, 0.01369
 65.60,97.86578, 0.01356
 65.70,97.86713, 0.01342
 65.80,97.86845, 0.01329
 65.90,97.86977, 0.01315
 66.00,97.87107, 0.01302
 66.10,97.87236, 0.01289
 66.20,97.87363, 0.01276
 66.30,97.87490, 0.01264
 66.40,97.87615, 0.01251
 66.50,97.87739, 0.01238
 66.60,97.87862, 0.01226
 66.70,97.87983, 0.01214
 66.80,97.88103, 0.01202
 66.90,97.88223, 0.01190
 67.00,97.88340, 0.01178
 67.10,97.88457, 0.01166
 67.20,97.88572, 0.01154
 67.30,97.88686, 0.01143
 67.40,97.88799, 0.01131
 67.50,97.88911, 0.01120
 67.60,97.89022, 0.01109
 67.70,97.89132, 0.01098
 67.80,97.89240, 0.01087
 67.90,97.89348, 0.01076
 68.00,97.89455, 0.01065
 68.10,97.89560, 0.01055
 68.20,97.89664, 0.01044
 68.30,97.89767, 0.01034
 68.40,97.89870, 0.01023
 68.50,97.89971, 0.01013
 68.60,97.90071, 0.01003
 68.70,97.90170, 0.00993
 68.80,97.90269, 0.00983
 68.90,97.90366, 0.00973
 69.00,97.90462, 0.00963
 69.10,97.90558, 0.00954
 69.20,97.90652, 0.00944
 69.30,97.90746, 0.00935
 69.40,97.90839, 0.00925
 69.50,97.90930, 0.00916
 69.60,97.91021, 0.00907
 69.70,97.91111, 0.00898
 69.80,97.91200, 0.00889
 69.90,97.91288, 0.00880
 70.00,97.91375, 0.00871
 70.10,97.91461, 0.00863
 70.20,97.91547, 0.00854
 70.30,97.91631, 0.00845
 70.40,97.91715, 0.00837
 70.50,97.91798, 0.00828
 70.60,97.91881, 0.00820
 70.70,97.91962, 0.00812
 70.80,97.92042, 0.00804
 70.90,97.92121, 0.00796
 71.00,97.92200, 0.00788
 71.10,97.92278, 0.00780
 71.20,97.92355, 0.00772
 71.30,97.92431, 0.00765
 71.40,97.92506, 0.00757
 71.50,97.92581, 0.00749
 71.60,97.92655, 0.00742
 71.70,97.92728, 0.00734
 71.80,97.92801, 0.00727
 71.90,97.92873, 0.00720
 72.00,97.92944, 0.00713
 72.10,97.93014, 0.00706
 72.20,97.93084, 0.00699
 72.30,97.93153, 0.00692
 72.40,97.93222, 0.00685
 72.50,97.93290, 0.00678
 72.60,97.93357, 0.00671
 72.70,97.93423, 0.00664
 72.80,97.93489, 0.00658
 72.90,97.93554, 0.00651
 73.00,97.93618, 0.00645
 73.10,97.93682, 0.00638
 73.20,97.93745, 0.00632
 73.30,97.93808, 0.00625
 73.40,97.93870, 0.00619
 73.50,97.93931, 0.00613
 73.60,97.93992, 0.00607
 73.70,97.94052, 0.00601
 73.80,97.94112, 0.00595
 73.90,97.94170, 0.00589
 74.00,97.94228, 0.00583
 74.10,97.94286, 0.00577
 74.20,97.94344, 0.00571
 74.30,97.94400, 0.00566
 74.40,97.94456, 0.00560
 74.50,97.94511, 0.00554
 74.60,97.94566, 0.00549
 74.70,97.94621, 0.00543
 74.80,97.94675, 0.00538
 74.90,97.94728, 0.00533
 75.00,97.94781, 0.00527
 75.10,97.94833, 0.00522
 75.20,97.94884, 0.00517
 75.30,97.94936, 0.00512
 75.40,97.94986, 0.00506
 75.50,97.95036, 0.00501
 75.60,97.95086, 0.00496
 75.70,97.95135, 0.00491
 75.80,97.95184, 0.00487
 75.90,97.95232, 0.00482
 76.00,97.95280, 0.00477
 76.10,97.95327, 0.00472
 76.20,97.95374, 0.00467
 76.30,97.95420, 0.00463
 76.40,97.95466, 0.00458
 76.50,97.95511, 0.00453
 76.60,97.95556, 0.00449
 76.70,97.95600, 0.00444
 76.80,97.95644, 0.00440
 76.90,97.95688, 0.00436
 77.00,97.95731, 0.00431
 77.10,97.95774, 0.00427
 77.20,97.95816, 0.00423
 77.30,97.95858, 0.00418
 77.40,97.95899, 0.00414
 77.50,97.95940, 0.00410
 77.60,97.95981, 0.00406
 77.70,97.96021, 0.00402
 77.80,97.96061, 0.00398
 77.90,97.96101, 0.00394
 78.00,97.96140, 0.00390
 78.10,97.96178, 0.00386
 78.20,97.96217, 0.00382
 78.30,97.96255, 0.00378
 78.40,97.96292, 0.00375
 78.50,97.96329, 0.00371
 78.60,97.96366, 0.00367
 78.70,97.96403, 0.00363
 78.80,97.96439, 0.00360
 78.90,97.96474, 0.00356
 79.00,97.96510, 0.00353
 79.10,97.96545, 0.00349
 79.20,97.96579, 0.00346
 79.30,97.96613, 0.00342
 79.40,97.96647, 0.00339
 79.50,97.96680, 0.00335
 79.60,97.96714, 0.00332
 79.70,97.96747, 0.00329
 79.80,97.96780, 0.00325
 79.90,97.96812, 0.00322
 80.00,97.96844, 0.00319
